no,step,x,y,path_id,name,ysqrt4,eps,b
0.0,0.0,0.0193,487.84856,632991.0,to_at,4.699712127892693,10.0,10.0
0.0,1.0,0.019301503600203152,491.5262143961954,632991.0,to_at,4.708544412887138,10.0,10.0
0.0,2.0,0.019234838603656712,491.471891608141,632991.0,to_at,4.708414312063368,10.0,10.0
0.0,3.0,0.01919977074547793,495.760432376145,632991.0,to_at,4.718652175122294,10.0,10.0
0.0,4.0,0.01910287105555143,504.57804077522445,632991.0,to_at,4.739495186486852,10.0,10.0
0.0,5.0,0.0188926533390637,501.6572647472427,632991.0,to_at,4.732621544661992,10.0,10.0
0.0,6.0,0.018832531700589492,499.1563197392541,632991.0,to_at,4.726712022749871,10.0,10.0
0.0,7.0,0.018844791168278977,499.51050404403907,632991.0,to_at,4.727550278155022,10.0,10.0
0.0,8.0,0.01884506248898805,504.0865701097134,632991.0,to_at,4.738340670260289,10.0,10.0
0.0,9.0,0.018764163911336798,497.2057430065811,632991.0,to_at,4.722087541513347,10.0,10.0
1.0,0.0,0.0193,487.84856,792831.0,to_at,4.699712127892693,10.0,10.0
1.0,1.0,0.019301503600203152,489.9179979132996,792831.0,to_at,4.704688226157381,10.0,10.0
1.0,2.0,0.019264302309604922,492.3116822485688,792831.0,to_at,4.710424371638886,10.0,10.0
1.0,3.0,0.019200371763587805,493.3465965561959,792831.0,to_at,4.712897930336971,10.0,10.0
1.0,4.0,0.019146997187841564,490.96085408075476,792831.0,to_at,4.707189870108413,10.0,10.0
1.0,5.0,0.019161555137405598,489.3820169341307,792831.0,to_at,4.70340094002469,10.0,10.0
1.0,6.0,0.019198232422613683,485.58779178974186,792831.0,to_at,4.694257835883579,10.0,10.0
1.0,7.0,0.019287705977954615,477.5462715330682,792831.0,to_at,4.674701286390774,10.0,10.0
1.0,8.0,0.019485757837056136,477.7945539024484,792831.0,to_at,4.675308777099714,10.0,10.0
1.0,9.0,0.019590139615462056,476.3926655423569,792831.0,to_at,4.671875562554029,10.0,10.0
2.0,0.0,0.0193,487.84856,843405.0,to_at,4.699712127892693,10.0,10.0
2.0,1.0,0.019301503600203152,490.0645668626795,843405.0,to_at,4.705040062518668,10.0,10.0
2.0,2.0,0.019261614112539797,488.0085129396666,843405.0,to_at,4.700097309085223,10.0,10.0
2.0,3.0,0.019277704804917497,488.95765891313846,843405.0,to_at,4.702380992827382,10.0,10.0
2.0,4.0,0.019269015368793285,484.83912583563585,843405.0,to_at,4.692447419296501,10.0,10.0
2.0,5.0,0.019340096117708618,483.27714211870824,843405.0,to_at,4.688663484741345,10.0,10.0
2.0,6.0,0.019407818848563806,489.28782605234517,843405.0,to_at,4.703174608934984,10.0,10.0
2.0,7.0,0.019333537485061125,484.8526019736968,843405.0,to_at,4.692480025684263,10.0,10.0
2.0,8.0,0.019375045268926094,484.0286794606534,843405.0,to_at,4.6904852410244855,10.0,10.0
2.0,9.0,0.019412968518366946,486.6959508623826,843405.0,to_at,4.69693373642369,10.0,10.0
3.0,0.0,0.0193,487.84856,242346.0,to_at,4.699712127892693,10.0,10.0
3.0,1.0,0.019301503600203152,489.9615222745849,242346.0,to_at,4.7047927139132115,10.0,10.0
3.0,2.0,0.01926350397470132,489.0822704676529,242346.0,to_at,4.702680566319202,10.0,10.0
3.0,3.0,0.019259023400847782,488.82968939129324,242346.0,to_at,4.7020732869836905,10.0,10.0
3.0,4.0,0.019261224644454164,493.3316563426872,242346.0,to_at,4.712862249285634,10.0,10.0
3.0,5.0,0.019180108989716445,495.84266605167596,242346.0,to_at,4.718847838164497,10.0,10.0
3.0,6.0,0.019090804630677104,491.6444780491054,242346.0,to_at,4.708827612139843,10.0,10.0
3.0,7.0,0.019118724120554594,495.8054753353584,242346.0,to_at,4.718759351291682,10.0,10.0
3.0,8.0,0.019058454386513823,494.5479751879309,242346.0,to_at,4.715764480854015,10.0,10.0
3.0,9.0,0.0190487071381345,490.7401327012956,242346.0,to_at,4.706660727795533,10.0,10.0
4.0,0.0,0.0193,487.84856,703249.0,to_at,4.699712127892693,10.0,10.0
4.0,1.0,0.019301503600203152,489.36399674537813,703249.0,to_at,4.703357641875108,10.0,10.0
4.0,2.0,0.01927446849780406,489.4427045434776,703249.0,to_at,4.703546748859165,10.0,10.0
4.0,3.0,0.019258361442325313,485.9735754406227,703249.0,to_at,4.695189916896285,10.0,10.0
4.0,4.0,0.019313367668412032,487.05634875336494,703249.0,to_at,4.697803013820363,10.0,10.0
4.0,5.0,0.019323359931056917,486.8134290382655,703249.0,to_at,4.6972171460490735,10.0,10.0
4.0,6.0,0.019333275128132266,483.5371618734039,703249.0,to_at,4.689294023164235,10.0,10.0
4.0,7.0,0.0193992683034993,484.358667395346,703249.0,to_at,4.691284474651047,10.0,10.0
4.0,8.0,0.019420068948654876,483.4479682394388,703249.0,to_at,4.689077760515453,10.0,10.0
4.0,9.0,0.019448354710434466,484.3368088673924,703249.0,to_at,4.691231545739494,10.0,10.0
5.0,0.0,0.0193,487.84856,144065.0,to_at,4.699712127892693,10.0,10.0
5.0,1.0,0.019301503600203152,489.4176327900784,144065.0,to_at,4.703486512784312,10.0,10.0
5.0,2.0,0.019273483880933796,487.24785202946777,144065.0,to_at,4.698264722230893,10.0,10.0
5.0,3.0,0.01929813998559939,482.3162530873711,144065.0,to_at,4.686331154085979,10.0,10.0
5.0,4.0,0.019402697644284192,480.2234471645976,144065.0,to_at,4.68123927687906,10.0,10.0
5.0,5.0,0.019498958029034032,484.82070106538674,144065.0,to_at,4.6924028382730745,10.0,10.0
5.0,6.0,0.019465879582281704,486.06403006642364,144065.0,to_at,4.695408381452752,10.0,10.0
5.0,7.0,0.01942473203917197,485.76514214194685,144065.0,to_at,4.694686396020049,10.0,10.0
5.0,8.0,0.019407860816654236,484.76158263946553,144065.0,to_at,4.692259785307876,10.0,10.0
5.0,9.0,0.0194172792124641,484.52770135481626,144065.0,to_at,4.691693718196472,10.0,10.0
6.0,0.0,0.0193,487.84856,664363.0,to_at,4.699712127892693,10.0,10.0
6.0,1.0,0.019301503600203152,488.661749680323,664363.0,to_at,4.701669380162362,10.0,10.0
6.0,2.0,0.019287367224321648,489.20537383383834,664363.0,to_at,4.702976457832636,10.0,10.0
6.0,3.0,0.019269711824803464,492.95733340718925,664363.0,to_at,4.7119680057314905,10.0,10.0
6.0,4.0,0.01919151406179621,493.3049146477034,664363.0,to_at,4.712798381254317,10.0,10.0
6.0,5.0,0.0191429746159805,490.92185045085495,664363.0,to_at,4.707096378458369,10.0,10.0
6.0,6.0,0.019160087845216188,485.97698717491335,664363.0,to_at,4.695198157415461,10.0,10.0
6.0,7.0,0.019259771834475588,490.5987689888903,664363.0,to_at,4.7063217383412885,10.0,10.0
6.0,8.0,0.019229221843971526,492.0308539707357,664363.0,to_at,4.709752488627003,10.0,10.0
6.0,9.0,0.019186535367945637,491.1460407353299,664363.0,to_at,4.707633686282192,10.0,10.0
7.0,0.0,0.0193,487.84856,321897.0,to_at,4.699712127892693,10.0,10.0
7.0,1.0,0.019301503600203152,484.28682362726545,321897.0,to_at,4.691110503209422,10.0,10.0
7.0,2.0,0.01936803184955364,485.2793935179025,321897.0,to_at,4.693512323977102,10.0,10.0
7.0,3.0,0.019385957074467136,488.68341671237494,321897.0,to_at,4.7017214967478225,10.0,10.0
7.0,4.0,0.019332815909930166,486.3675520862447,321897.0,to_at,4.696141220205484,10.0,10.0
7.0,5.0,0.01934664995000086,485.1570591698035,321897.0,to_at,4.693216498486984,10.0,10.0
7.0,6.0,0.01937656286379994,482.66378760182357,321897.0,to_at,4.687175113790896,10.0,10.0
7.0,7.0,0.019439152804972968,481.34904096701484,321897.0,to_at,4.683979953574801,10.0,10.0
7.0,8.0,0.01949792285949179,478.8794231126725,321897.0,to_at,4.677960432235545,10.0,10.0
7.0,9.0,0.019576437734973594,480.1596719236506,321897.0,to_at,4.68108384817512,10.0,10.0
8.0,0.0,0.0193,487.84856,14268.0,to_at,4.699712127892693,10.0,10.0
8.0,1.0,0.019301503600203152,482.08053112590784,14268.0,to_at,4.685758462579521,10.0,10.0
8.0,2.0,0.01940891269642053,487.14270737544814,14268.0,to_at,4.698011238610019,10.0,10.0
8.0,3.0,0.019373738333491382,487.84327165298316,14268.0,to_at,4.699699391455773,10.0,10.0
8.0,4.0,0.01934167367077886,491.9880085707777,14268.0,to_at,4.709649955514913,10.0,10.0
8.0,5.0,0.01924810684943434,484.9230302666794,14268.0,to_at,4.692650420437404,10.0,10.0
8.0,6.0,0.019327142376407626,487.71924873376844,14268.0,to_at,4.699400665385284,10.0,10.0
8.0,7.0,0.019318635726531683,486.6968303211349,14268.0,to_at,4.696935858260062,10.0,10.0
8.0,8.0,0.01933285472969775,481.53249352378,14268.0,to_at,4.684426181385857,10.0,10.0
8.0,9.0,0.01943626351854834,482.91644558565287,14268.0,to_at,4.687788387381724,10.0,10.0
9.0,0.0,0.0193,487.84856,268131.0,to_at,4.699712127892693,10.0,10.0
9.0,1.0,0.019301503600203152,490.2940099988601,268131.0,to_at,4.705590678568395,10.0,10.0
9.0,2.0,0.019257407120871133,489.83585110476434,268131.0,to_at,4.704490999566538,10.0,10.0
9.0,3.0,0.01924190589039949,491.4926634791571,268131.0,to_at,4.708464061106189,10.0,10.0
9.0,4.0,0.01920321446418011,486.28490989938143,268131.0,to_at,4.695941718763457,10.0,10.0
9.0,5.0,0.019277604948221224,487.87892018573007,268131.0,to_at,4.699785245256891,10.0,10.0
9.0,6.0,0.01928877511075129,491.5705007375759,268131.0,to_at,4.708650468858342,10.0,10.0
9.0,7.0,0.01922714372256539,488.09786846782197,268131.0,to_at,4.700312444083972,10.0,10.0
9.0,8.0,0.019257337015562873,483.8753565596783,268131.0,to_at,4.690113752579263,10.0,10.0
9.0,9.0,0.019351522123969747,487.7151566389783,268131.0,to_at,4.699390808047514,10.0,10.0
